"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,83,"GAB","Gabon",1,"Estuaire",1,"Komo-Mondah","GA.ES.KM",NA,"","Département","Department","","Ntoum"
2,83,"GAB","Gabon",1,"Estuaire",2,"Komo","GA.ES.KO",NA,"","Département","Department","","Kango"
3,83,"GAB","Gabon",1,"Estuaire",3,"Noya","GA.ES.NY",NA,"","Département","Department","","Cocobeach"
4,83,"GAB","Gabon",2,"Haut-Ogooué",4,"Léboumbi-Leyou","GA.HO.LL",NA,"","Département","Department","","Mouanda"
5,83,"GAB","Gabon",2,"Haut-Ogooué",5,"Léconi-Djoué","GA.HO.LD",NA,"","Département","Department","","Onga"
6,83,"GAB","Gabon",2,"Haut-Ogooué",6,"Lékoko","GA.HO.LK",NA,"","Département","Department","","Bakoumba"
7,83,"GAB","Gabon",2,"Haut-Ogooué",7,"Mpassa","GA.HO.MP",NA,"","Département","Department","","Franceville"
8,83,"GAB","Gabon",2,"Haut-Ogooué",8,"Plateaux","GA.HO.PL",NA,"","Département","Department","","Lekoni"
9,83,"GAB","Gabon",2,"Haut-Ogooué",9,"Sébé-Brikolo","GA.HO.SB",NA,"","Département","Department","","Okondja"
10,83,"GAB","Gabon",3,"Moyen-Ogooué",10,"Abanga-Bigné","GA.MO.AB",NA,"","Département","Department","","Ndjole"
11,83,"GAB","Gabon",3,"Moyen-Ogooué",11,"Ogooué et des Lacs","GA.MO.OL",NA,"","Département","Department","","Lambar."
12,83,"GAB","Gabon",4,"Ngounié",12,"Boumi-lowetsi","GA.NG.BL",NA,"","Département","Department","","Boumi-Louetsi|Mbigou"
13,83,"GAB","Gabon",4,"Ngounié",13,"Dola","GA.NG.DL",NA,"","Département","Department","","Ndende"
14,83,"GAB","Gabon",4,"Ngounié",14,"Douya Onoye","GA.NG.DO",NA,"","Département","Department","","Douya-Onoy|Mouila"
15,83,"GAB","Gabon",4,"Ngounié",15,"Louetsi-Wano","GA.NG.LW",NA,"","Département","Department","","Lebamba"
16,83,"GAB","Gabon",4,"Ngounié",16,"Ndolou","GA.NG.NL",NA,"","Département","Department","","Mandji"
17,83,"GAB","Gabon",4,"Ngounié",17,"Ogoulou","GA.NG.OU",NA,"","Département","Department","","Mimongo"
18,83,"GAB","Gabon",4,"Ngounié",18,"Tsamba Mangotsi","GA.NG.TM",NA,"","Département","Department","","Tsamba-Magotsi|Foug."
19,83,"GAB","Gabon",5,"Nyanga",19,"Basse Banio","GA.NY.BB",NA,"","Département","Department","","Basse-Banio|Mayumba"
20,83,"GAB","Gabon",5,"Nyanga",20,"Douigny","GA.NY.DG",NA,"","Département","Department","","Douigni|Moabi"
21,83,"GAB","Gabon",5,"Nyanga",21,"Haute-Banio","GA.NY.HB",NA,"","Département","Department","","Ndindi"
22,83,"GAB","Gabon",5,"Nyanga",22,"Mougoutsi","GA.NY.MG",NA,"","Département","Department","","Tchibanga"
23,83,"GAB","Gabon",6,"Ogooué-Ivindo",23,"Ivindo","GA.OI.IV",NA,"","Département","Department","","Makokou"
24,83,"GAB","Gabon",6,"Ogooué-Ivindo",24,"Lopé","GA.OI.LP",NA,"","Département","Department","","Booue"
25,83,"GAB","Gabon",6,"Ogooué-Ivindo",25,"Mvoung","GA.OI.MV",NA,"","Département","Department","","Oveng"
26,83,"GAB","Gabon",6,"Ogooué-Ivindo",26,"Zadié","GA.OI.ZA",NA,"","Département","Department","","Mekambo"
27,83,"GAB","Gabon",7,"Ogooué-Lolo",27,"Lolo Bouenguidi","GA.OL.LO",NA,"","Département","Department","","Lolo-Bouenguidi|Koula."
28,83,"GAB","Gabon",7,"Ogooué-Lolo",28,"Lombo-Bouenguidi","GA.OL.LB",NA,"","Département","Department","","Pana"
29,83,"GAB","Gabon",7,"Ogooué-Lolo",29,"Mouloudnou","GA.OL.ML",NA,"","Département","Department","","Mouloundou|Latoursville"
30,83,"GAB","Gabon",8,"Ogooué-Maritime",30,"Étimboué","GA.OM.ET",NA,"","Département","Department","","Omboue"
31,83,"GAB","Gabon",8,"Ogooué-Maritime",31,"Bendjé","GA.OM.BD",NA,"","Département","Department","","Port Gentil"
32,83,"GAB","Gabon",8,"Ogooué-Maritime",32,"Ndougou","GA.OM.NG",NA,"","Département","Department","","Gamba"
33,83,"GAB","Gabon",9,"Wouleu-Ntem",33,"Haut-Como","GA.WN.HK",NA,"","Département","Department","","Haut-Komo|Medouneu"
34,83,"GAB","Gabon",9,"Wouleu-Ntem",34,"Haut-Ntem","GA.WN.HN",NA,"","Département","Department","","Minvoul"
35,83,"GAB","Gabon",9,"Wouleu-Ntem",35,"Ntem","GA.WN.NT",NA,"","Département","Department","","Bitam"
36,83,"GAB","Gabon",9,"Wouleu-Ntem",36,"Okano","GA.WN.OK",NA,"","Département","Department","","Mitzik"
37,83,"GAB","Gabon",9,"Wouleu-Ntem",37,"Woleu","GA.WN.WO",NA,"","Département","Department","","Oyem"
